Type,Date,Time,Uservisits,Pages,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node
ScalaSparkAggregation,2018-03-05,06:37:01,100000000,12000000,3686327196,67.521,54595269,54595269
MapRScalaSparkAggregation,2018-03-05,06:47:54,100000000,12000000,7328817152,644.596,11369628,11369628
ScalaSparkJoin,2018-03-05,06:51:07,100000000,12000000,19197807276,71.231,269514779,269514779
MapRScalaSparkJoin,2018-03-05,06:58:28,100000000,12000000,25700827136,441.026,58275083,58275083
ScalaSparkScan,2018-03-05,07:01:47,100000000,12000000,20097928128,68.706,292520713,292520713
MapRScalaSparkScan,2018-03-05,07:20:47,100000000,12000000,24837054464,1132.428,21932568,21932568
MapRDBScanVerifier,2018-03-05,07:29:42,100000000,12000000,24837054464,527.176,47113401,47113401
ScalaSparkScanRDD,2018-03-05,07:57:48,6000000000,12000000,1205892031223,865.918,1392616888,1392616888
MapRScalaSparkScanRDD,2018-03-05,10:37:04,6000000000,12000000,1482349330432,9548.262,155248078,155248078
ScalaSparkSleep,2018-03-05,10:39:07,0,0,0,122.511,0,0
ScalaSparkSort,2018-03-05,10:40:43,0,0,32849188628,58.119,565205675,565205675
ScalaSparkTerasort,2018-03-05,10:58:19,0,0,320000000000,911.872,350926445,350926445
ScalaSparkWordcount,2018-03-05,11:02:30,0,0,328491407533,98.120,3347853725,3347853725
ScalaSparkPagerank,2018-03-05,11:19:10,0,0,19933854201,918.371,21705666,21705666
ScalaSparkBayes,2018-03-05,11:20:46,0,0,3763302528,57.147,65853019,65853019
ScalaSparkKmeans,2018-03-05,11:27:29,0,0,40163644393,72.514,553874346,553874346
LogisticRegression,2018-03-05,11:33:55,0,0,40000622350,333.018,120115496,120115496
ALS,2018-03-05,11:54:16,0,0,19201355750,1177.379,16308559,16308559
GradientBoostingTree,2018-03-05,12:14:18,0,0,64077530,1165.631,54972,54972
RandomForest,2018-03-05,12:21:19,0,0,24000622350,376.211,63795642,63795642
SVD,2018-03-05,12:40:12,0,0,288211500,1097.580,262588,262588
